,Time,Price
434218,2013-04-23 11:43:00,14709.2
434219,2013-04-23 11:44:00,14706.9
434220,2013-04-23 11:45:00,14705.7
434221,2013-04-23 11:46:00,14709.2
434222,2013-04-23 11:47:00,14712.6
434223,2013-04-23 11:48:00,14711.2
434224,2013-04-23 11:49:00,14712.3
434225,2013-04-23 11:50:00,14713.5
434226,2013-04-23 11:51:00,14711.2
434227,2013-04-23 11:52:00,14712.3
434228,2013-04-23 11:53:00,14715.9
434229,2013-04-23 11:54:00,14715.9
434230,2013-04-23 11:55:00,14715.9
434231,2013-04-23 11:56:00,14714.8
434232,2013-04-23 11:57:00,14717.1
434233,2013-04-23 11:58:00,14715.9
434234,2013-04-23 11:59:00,14714.7
434235,2013-04-23 12:00:00,14719.5
434236,2013-04-23 12:01:00,14716.0
434237,2013-04-23 12:02:00,14714.9
434238,2013-04-23 12:03:00,14716.1
434239,2013-04-23 12:04:00,14716.1
434240,2013-04-23 12:05:00,14717.2
434241,2013-04-23 12:06:00,14712.6
434242,2013-04-23 12:07:00,14713.5
434243,2013-04-23 12:08:00,14712.4
434244,2013-04-23 12:09:00,14712.5
434245,2013-04-23 12:10:00,14713.6
434246,2013-04-23 12:11:00,14710.2
434247,2013-04-23 12:12:00,14709.0
434248,2013-04-23 12:13:00,14706.7
434249,2013-04-23 12:14:00,14711.3
434250,2013-04-23 12:15:00,14709.0
434251,2013-04-23 12:16:00,14712.5
434252,2013-04-23 12:17:00,14711.3
434253,2013-04-23 12:18:00,14710.0
434254,2013-04-23 12:19:00,14708.8
434255,2013-04-23 12:20:00,14708.8
434256,2013-04-23 12:21:00,14713.5
434257,2013-04-23 12:22:00,14711.2
434258,2013-04-23 12:23:00,14712.3
434259,2013-04-23 12:24:00,14712.3
434260,2013-04-23 12:25:00,14713.5
434261,2013-04-23 12:26:00,14715.8
434262,2013-04-23 12:27:00,14716.9
434263,2013-04-23 12:28:00,14715.8
434264,2013-04-23 12:29:00,14715.8
434265,2013-04-23 12:30:00,14715.7
434266,2013-04-23 12:31:00,14716.9
434267,2013-04-23 12:32:00,14716.9
434268,2013-04-23 12:33:00,14718.1
434269,2013-04-23 12:34:00,14718.1
434270,2013-04-23 12:35:00,14718.1
434271,2013-04-23 12:36:00,14715.7
434272,2013-04-23 12:37:00,14715.7
434273,2013-04-23 12:38:00,14714.5
